"","census_tract","corr"
"7416","B20001_006",0.346364125652184
"8238","B23024_028",0.345825606634628
"451","B04005_059",0.345635718658087
"4973","B13012_010",0.345139234655852
"6956","B19001_015",0.344721682490878
"8524","B24022_053",0.344612609140951
"501","B04006_002",0.34449321535295
"15900","B27010_054",0.344082368746456
"1650","B07010_021",0.344035738109648
"7854","B23001_079",0.343983113633331
"5100","B14003_010",0.343084830299761
"2375","B08101_004",0.342329938534879
"16196","B99071_003",0.342251926800519
"5133","B14003_043",0.342240992960869
"5065","B14002_023",0.341687751007145
"8451","B24021_015",0.341552776063292
"5319","B15001_075",0.341274743389342
"6215","B17016_029",0.341234199691433
"896","B05007_035",0.340930186497244
"1606","B07009_012",0.34063920599515
"4998","B13014_021",0.340601250880987
"8639","B24041_017",0.340303707393087
"13296","B25121_045",0.33905955690468
"7275","B19201_009",0.338879045671148
"8710","B24080_009",0.338850388383856
"16351","B99231_003.x",0.338632066593318
"16432","B99231_003.y",0.338632066593318
"695","B05005_015",0.338224834735739
"4917","B13002_014",0.33773949762658
"1586","B07008_027",0.337141785832435
"5341","B15002_015",0.337048771468751
"1414","B06012_020",0.337007998665182
"12922","B25096_008",0.33696585987415
"15748","B27002_014",0.33581956074821
"5163","B14004_017",0.335737564886227
"7549","B20005_072",0.335502524497265
"5784","B16009_022",0.33511372815914
"287","B04004_002",0.334815389564478
"13472","B25122_116",0.334767856450015
"7035","B19049_003",0.334679920636452
"973","B05008_007",0.334563548323523
"558","B04006_059",0.334325299178013
"6685","B18101_019",0.334006729149941
"8665","B24042_017",0.333859338434766
"5358","B15002_032",0.333649931525732
"1719","B07012_020",0.333504946089555
"16272","B99171_009",0.333150827421711
"6960","B19019_003",0.332775308781355
"16178","B99031_003",0.332514663041048
"6286","B17017_054",0.332452075207647
"6575","B17024_065",0.332364955568778
"5430","B15012_008",0.332289003214063
"1042","B05009_008",0.332029954129982
"4812","B12006_015",0.331728876070353
"2267","B08012_009",0.331586489262528
"3289","B08303_009",0.331586489262528
"3167","B08141_034",0.331306745229509
"7173","B19131_013",0.331093273998021
"8250","B23026_004",0.330878363804041
"16012","B27022_002",0.330850159457642
"16026","B27023_002",0.330850159457642
"7382","B19325_072",0.330358835040587
"8523","B24022_052",0.329916583596026
"6934","B18135_032",0.329912864093842
"2293","B08012_035",0.329883867093834
"13281","B25121_030",0.329220192184897
"5853","B17003_013",0.329003098173559
"15911","B27010_065",0.328845563760594
"2689","B08126_025",0.328539736070043
"5863","B17003_023",0.328524521109597
"15913","B27011_002",0.328305887288327
"15916","B27011_005",0.327811309799913
"6499","B17023_023",0.327722438103392
"6678","B18101_012",0.32770917939161
"6716","B18102_012",0.32770917939161
"6754","B18103_012",0.32770917939161
"6958","B19001_017",0.327542417919981
"6061","B17012_023",0.327257278760104
"1346","B06010_010",0.327195307594168
"1639","B07010_010",0.327195307594168
"1436","B07001_023",0.326824897042829
"15719","B27001_041",0.325684472145522
"6922","B18135_020",0.325531313649405
"12210","B25031_004",0.325491973017343
"2584","B08119_063",0.324673854461887
"5081","B14002_039",0.324400037015659
"8235","B23024_025",0.323650262301812
"5227","B14006_021",0.323300552800083
"5042","B14001_009",0.323053053714521
"5244","B14007_018",0.323053053714521
"8755","B24090_009",0.322720423656934
"1041","B05009_007",0.322618497756426
"5089","B14002_047",0.322388455966655
"1100","B05011_006",0.321901000667832
"2379","B08101_008",0.321692797098677
"12821","B25093_024",0.321604867896827
"7726","B22003_007",0.321387132390196
"6791","B18104_011",0.320788041513861
"8345","B24011_016",0.32038817256143
"16087","B28004_022",0.320037870270089
"512","B04006_013",0.319954384167915
"12221","B25032_009",0.319926119810321
"452","B04005_060",0.319686709214098
"6289","B17017_057",0.319653735244341
"4974","B13012_011",0.319636090984871
"12626","B25074_032",0.319353660415409
"4531","B11010_004",0.319170629872276
"8613","B24032_044",0.318690104966804
"6574","B17024_064",0.318474002956281
"8322","B23027_028",0.318465346648512
"8586","B24032_017",0.318198606759586
"4295","B09021_010",0.318173680148926
"8040","B23007_036",0.318114016130748
"8404","B24012_040",0.317488153507454
"6718","B18102_014",0.31736007157472
"6855","B18106_011",0.317246364448996
"3002","B08134_028",0.317015571537737
"7451","B20001_041",0.316825540063006
"5109","B14003_019",0.316045303509079
"4278","B09020_013",0.315976987879103
"1611","B07009_017",0.315634352190785
"6263","B17017_031",0.315630705941028
"12569","B25072_003",0.315433327018582
"634","B05002_016",0.315044878236476
"15949","B27015_022",0.314692102069897
"16219","B99084_004",0.314608328273293
"7279","B19201_013",0.314580622998502
"8066","B23008_004",0.314575060115968
"12579","B25072_013",0.314508882598402
"6959","B19019_002",0.314423827227822
"1422","B07001_009",0.314192085228357
"4181","B09002_007",0.313886840053976
"5152","B14004_006",0.313376790888783
"8585","B24032_016",0.313376327382404
"481","B04005_089",0.313342597215658
"1715","B07012_016",0.313225531572925
"8719","B24080_018",0.312857369472436
"12725","B25085_022",0.312601086812965
"15951","B27015_024",0.31250225543239
"8706","B24080_005",0.312480401032036
"7656","B21005_010",0.31246228992956
"15950","B27015_023",0.312433014570246
"13150","B25114_003",0.3122815990153
"13756","B25127_085",0.312246870304583
"4279","B09020_014",0.312216568023454
"13043","B25104_015",0.311867499085271
"12920","B25096_006",0.31182878483257
"1619","B07009_025",0.311689582016006
"8385","B24012_021",0.311622702753998
"7280","B19201_014",0.311571806977037
"4530","B11010_003",0.311518696693594
"8017","B23007_013",0.311329629863627
"2528","B08119_007",0.311249212022709
"13194","B25116_015",0.311229378896964
"7720","B22002_027",0.310904036323554
"16211","B99082_004",0.310553850380313
"8566","B24031_023",0.310363752596668
"5839","B16010_051",0.310135357998284
"2529","B08119_008",0.310085419129189
"8324","B23027_030",0.309906898790656
"15988","B27019_036",0.309853749910991
"5218","B14006_012",0.309627412573508
"6285","B17017_053",0.309421420954911
"5064","B14002_022",0.309334326783641
"12823","B25093_026",0.30892008136912
"6356","B17020_010",0.308707601973811
"6381","B17021_019",0.308707601973811
"6649","B17025_009",0.308707601973811
"8488","B24022_017",0.308576592822199
"2309","B08014_011",0.308569722223143
"7593","B21001_016",0.308466492090947
"2786","B08128_018",0.308216971896715
"16204","B99080_003",0.308112730538988
"4277","B09020_012",0.306946865498142
"5157","B14004_011",0.306909143223772
"4597","B12001_004",0.306666687098679
"4629","B12002_018",0.306666687098679
"5821","B16010_033",0.306403104304605
"645","B05002_027",0.306139286379941
"7289","B19215_007",0.305941511434074
"8668","B24042_020",0.30524326739999
"7429","B20001_019",0.305034714657815
"7333","B19325_023",0.304691127949967
"7288","B19215_006",0.304456376597369
"6796","B18104_016",0.303958833657385
"4957","B13010_012",0.30389640165755
"8664","B24042_016",0.303619759502863
"8482","B24022_011",0.302659157819167
"6789","B18104_009",0.302494659639779
"6821","B18105_009",0.302494659639779
"6853","B18106_009",0.302494659639779
"12578","B25072_012",0.302424332078844
"8135","B23010_005",0.301924485113982
"8264","B23026_018",0.301791737199211
"12342","B25043_017",0.30168918866956
"5777","B16009_015",0.301642185473105
"8142","B23010_012",0.301475702737866
"12675","B25075_018",0.301436453382783
"2623","B08124_007",0.301228856413036
"2630","B08124_014",0.301228856413036
"4235","B09019_007",0.301146163925028
"4929","B13004_008",0.301014470612815
"6221","B17016_035",0.300412264658276
"11977","B25007_014",0.300316710687778
"16089","B28004_024",0.300154622073073
"2693","B08126_029",0.300034529090978
"4487","B11005_008",0.299458448759795
"8227","B23024_017",0.29938892261911
"7499","B20005_022",0.299265462962273
"2992","B08134_018",0.299158520065725
"12","B01001_013",0.299112409264019
"12544","B25068_026",0.298874928740831
"2181","B08007_009",0.298853943926543
"13343","B25121_092",0.298573145865073
"7329","B19325_019",0.298522755743965
"5088","B14002_046",0.298321530548547
"7884","B23001_109",0.298164078515231
"6823","B18105_011",0.297996565488212
"7832","B23001_057",0.297629709997264
"5099","B14003_009",0.296931713727496
